             VARIABLE : TEMP[X=308:310@AVE,Y=55.5:57.5@AVE,Z=0:1900,L=79:127]
             BAD FLAG : -9.9999998E+33
             SUBSET   : 57 by 49 points (DEPTH (dbar)-TIME)
             LONGITUDE: 52W to 50W
             LATITUDE : 55.5N to 57.5N
coordinates	2.5    	10      	20      	30      	40      	50      	60      	70      	80      	90      	100      	110      	120      	130      	140      	150      	160      	170      	182.5    	200      	220      	240      	260      	280      	300      	320      	340      	360      	380      	400      	420      	440      	462.5    	500      	550      	600      	650      	700      	750      	800      	850      	900      	950      	1000      	1050      	1100      	1150      	1200      	1250      	1300      	1350      	1413      	1500      	1600      	1700      	1800      	1900      
17-JUL-2010 07	8.625	8.499	7.929	6.945	5.889	5.081	4.591	4.322	4.118	3.993	3.906	3.863	3.818	3.839	3.873	3.881	3.863	3.831	3.809	3.809	3.837	3.852	3.879	3.895	3.89	3.881	3.869	3.864	3.862	3.862	3.856	3.85	3.842	3.827	3.816	3.806	3.783	3.759	3.736	3.706	3.67	3.647	3.625	3.607	3.593	3.583	3.58	3.58	3.584	3.59	3.594	3.597	3.597	3.589	3.558	3.501	3.426
16-AUG-2010 17	11.37	11.16	10.35	8.49	6.96	5.797	5.132	4.685	4.406	4.209	4.087	4.072	4.046	3.979	3.943	3.956	3.964	3.964	3.968	3.972	3.957	3.947	3.95	3.953	3.943	3.957	3.969	3.958	3.938	3.922	3.907	3.891	3.88	3.868	3.848	3.818	3.791	3.765	3.736	3.705	3.679	3.657	3.637	3.624	3.617	3.609	3.606	3.604	3.6	3.598	3.597	3.598	3.604	3.598	3.564	3.515	3.465
16-SEP-2010 04	10.25	10.23	10.01	9.247	6.838	5.311	4.784	4.621	4.508	4.368	4.282	4.211	4.168	4.17	4.176	4.183	4.184	4.185	4.181	4.162	4.154	4.165	4.175	4.173	4.17	4.149	4.124	4.106	4.082	4.052	4.03	4.007	3.99	3.973	3.95	3.911	3.861	3.81	3.757	3.711	3.684	3.664	3.645	3.638	3.631	3.626	3.625	3.615	3.605	3.589	3.583	3.588	3.602	3.596	3.565	3.526	3.477
16-OCT-2010 14	7.633	7.622	7.602	7.591	7.324	6.773	5.47	4.587	4.28	4.111	4.015	3.96	3.96	3.91	3.869	3.829	3.854	3.837	3.854	3.93	3.954	3.937	3.926	3.905	3.902	3.922	3.907	3.9	3.898	3.892	3.88	3.867	3.854	3.831	3.802	3.774	3.735	3.695	3.652	3.614	3.586	3.567	3.559	3.56	3.558	3.565	3.579	3.588	3.59	3.588	3.586	3.588	3.6	3.595	3.558	3.499	3.42
16-NOV-2010 01	5.952	5.952	5.96	5.946	5.921	5.926	5.814	5.539	5.091	4.704	4.426	4.294	4.232	4.173	4.122	4.128	4.162	4.175	4.171	4.161	4.127	4.1	4.062	4.026	3.986	3.974	3.951	3.926	3.904	3.889	3.875	3.865	3.855	3.84	3.817	3.801	3.783	3.76	3.719	3.68	3.65	3.617	3.59	3.584	3.574	3.573	3.58	3.586	3.589	3.593	3.593	3.595	3.6	3.592	3.544	3.475	3.408
16-DEC-2010 11	5.245	5.246	5.253	5.321	5.327	5.329	5.338	5.348	5.269	5.01	4.731	4.592	4.504	4.435	4.391	4.359	4.344	4.334	4.3	4.281	4.321	4.315	4.301	4.271	4.229	4.185	4.141	4.095	4.06	4.044	4.027	4.01	3.992	3.961	3.921	3.9	3.884	3.853	3.816	3.778	3.741	3.711	3.682	3.66	3.646	3.641	3.645	3.64	3.633	3.629	3.629	3.63	3.624	3.594	3.542	3.471	3.385
15-JAN-2011 21	4.625	4.627	4.63	4.618	4.551	4.456	4.405	4.399	4.393	4.394	4.415	4.439	4.456	4.469	4.466	4.443	4.432	4.436	4.421	4.437	4.489	4.447	4.389	4.329	4.251	4.205	4.174	4.164	4.143	4.093	4.044	4.013	3.992	3.964	3.922	3.889	3.865	3.844	3.821	3.787	3.75	3.723	3.691	3.662	3.636	3.621	3.612	3.614	3.619	3.62	3.619	3.611	3.608	3.6	3.561	3.5	3.419
15-FEB-2011 08	3.575	3.573	3.573	3.564	3.564	3.564	3.544	3.545	3.555	3.56	3.572	3.582	3.585	3.58	3.571	3.573	3.611	3.682	3.799	3.964	4.123	4.197	4.256	4.284	4.248	4.215	4.191	4.159	4.116	4.071	4.039	4.018	3.994	3.955	3.915	3.877	3.849	3.825	3.804	3.786	3.76	3.72	3.691	3.67	3.649	3.632	3.627	3.628	3.627	3.625	3.623	3.62	3.617	3.606	3.57	3.508	3.446
17-MAR-2011 18	3.254	3.255	3.258	3.272	3.272	3.277	3.281	3.285	3.29	3.293	3.291	3.293	3.309	3.329	3.336	3.344	3.362	3.419	3.49	3.56	3.634	3.696	3.741	3.816	3.861	3.889	3.932	3.961	3.969	3.965	3.959	3.952	3.936	3.902	3.866	3.84	3.822	3.806	3.779	3.747	3.712	3.677	3.645	3.618	3.603	3.597	3.597	3.604	3.611	3.605	3.599	3.601	3.61	3.618	3.591	3.533	3.461
17-APR-2011 05	3.235	3.235	3.241	3.246	3.243	3.249	3.256	3.257	3.272	3.29	3.31	3.325	3.337	3.35	3.377	3.392	3.415	3.446	3.468	3.53	3.643	3.731	3.788	3.816	3.856	3.871	3.878	3.876	3.867	3.847	3.826	3.809	3.792	3.76	3.715	3.686	3.654	3.634	3.608	3.586	3.574	3.559	3.536	3.512	3.485	3.472	3.468	3.464	3.459	3.459	3.466	3.474	3.481	3.48	3.463	3.436	3.397
17-MAY-2011 15	3.311	3.324	3.371	3.444	3.489	3.524	3.562	3.59	3.594	3.593	3.585	3.571	3.561	3.547	3.548	3.549	3.554	3.563	3.589	3.651	3.755	3.81	3.833	3.844	3.83	3.818	3.808	3.799	3.792	3.783	3.77	3.756	3.743	3.727	3.709	3.687	3.661	3.629	3.604	3.584	3.566	3.547	3.529	3.493	3.484	3.475	3.471	3.468	3.463	3.459	3.454	3.451	3.448	3.439	3.423	3.406	3.376
17-JUN-2011 02	5.192	5.113	4.89	4.55	4.271	4.104	3.987	3.919	3.843	3.806	3.786	3.764	3.723	3.699	3.685	3.67	3.665	3.663	3.67	3.685	3.681	3.695	3.712	3.727	3.742	3.767	3.797	3.816	3.817	3.808	3.815	3.822	3.82	3.81	3.802	3.797	3.801	3.793	3.783	3.779	3.763	3.747	3.722	3.705	3.69	3.679	3.67	3.661	3.652	3.642	3.631	3.622	3.626	3.631	3.613	3.577	3.518
17-JUL-2011 12	7.799	7.677	7.317	6.474	5.272	4.442	4.026	3.896	3.821	3.808	3.81	3.808	3.812	3.822	3.835	3.848	3.865	3.861	3.865	3.886	3.913	3.944	3.935	3.92	3.916	3.907	3.907	3.905	3.899	3.898	3.891	3.882	3.873	3.856	3.839	3.834	3.84	3.836	3.825	3.801	3.775	3.752	3.731	3.725	3.733	3.736	3.729	3.716	3.712	3.709	3.702	3.688	3.666	3.643	3.614	3.583	3.561
16-AUG-2011 23	10.21	10.09	9.628	8.51	6.54	5.049	4.351	4.071	3.958	3.936	3.935	3.973	3.997	3.98	3.958	3.953	3.937	3.935	3.947	3.958	3.953	3.939	3.927	3.925	3.921	3.909	3.895	3.88	3.867	3.86	3.856	3.853	3.852	3.841	3.823	3.806	3.797	3.792	3.79	3.791	3.786	3.776	3.761	3.748	3.731	3.718	3.701	3.684	3.671	3.663	3.659	3.655	3.645	3.637	3.619	3.576	3.507
16-SEP-2011 09	8.87	8.889	8.896	8.48	6.99	5.352	4.342	4.059	4.008	3.986	4.007	4.017	4.043	4.038	4.045	4.068	4.071	4.084	4.079	4.075	4.075	4.048	4.03	4.03	4.013	3.997	3.979	3.962	3.94	3.922	3.91	3.897	3.883	3.868	3.848	3.837	3.835	3.827	3.819	3.803	3.787	3.776	3.753	3.725	3.696	3.672	3.655	3.647	3.647	3.648	3.65	3.643	3.638	3.632	3.598	3.535	3.454
16-OCT-2011 20	6.631	6.635	6.67	6.782	6.842	6.597	5.489	4.691	4.268	4.087	4.089	4.114	4.132	4.16	4.179	4.185	4.174	4.165	4.157	4.119	4.103	4.1	4.102	4.102	4.098	4.079	4.061	4.037	4.012	3.994	3.984	3.974	3.96	3.937	3.919	3.887	3.866	3.843	3.819	3.799	3.78	3.758	3.731	3.7	3.673	3.651	3.641	3.638	3.64	3.64	3.64	3.641	3.637	3.613	3.57	3.507	3.435
16-NOV-2011 06	4.731	4.73	4.74	4.704	4.728	4.74	4.703	4.626	4.577	4.543	4.491	4.458	4.432	4.435	4.404	4.309	4.297	4.319	4.322	4.324	4.312	4.293	4.264	4.237	4.214	4.171	4.157	4.145	4.117	4.097	4.081	4.067	4.055	4.025	3.972	3.939	3.903	3.881	3.864	3.837	3.809	3.786	3.759	3.721	3.698	3.684	3.681	3.685	3.688	3.685	3.677	3.668	3.65	3.622	3.591	3.541	3.481
16-DEC-2011 17	3.741	3.742	3.748	3.756	3.76	3.76	3.768	3.792	3.824	3.855	3.874	3.888	3.906	3.915	3.927	3.99	4.125	4.22	4.258	4.267	4.269	4.347	4.37	4.353	4.331	4.292	4.252	4.221	4.188	4.158	4.131	4.106	4.083	4.052	4.011	3.978	3.949	3.921	3.884	3.857	3.832	3.809	3.786	3.767	3.749	3.731	3.711	3.698	3.688	3.681	3.671	3.655	3.631	3.596	3.548	3.487	3.414
16-JAN-2012 03	3.237	3.241	3.244	3.254	3.255	3.248	3.232	3.231	3.221	3.21	3.232	3.305	3.365	3.388	3.393	3.388	3.41	3.412	3.433	3.506	3.702	3.854	3.884	3.891	3.912	3.941	3.965	3.961	3.936	3.916	3.915	3.938	3.959	3.956	3.968	3.95	3.921	3.901	3.878	3.852	3.826	3.813	3.796	3.777	3.757	3.738	3.728	3.723	3.712	3.701	3.691	3.678	3.661	3.627	3.574	3.513	3.468
15-FEB-2012 14	3.387	3.388	3.391	3.41	3.387	3.364	3.319	3.306	3.302	3.309	3.309	3.301	3.311	3.325	3.321	3.336	3.344	3.345	3.353	3.379	3.429	3.505	3.529	3.526	3.525	3.546	3.55	3.562	3.583	3.613	3.629	3.634	3.629	3.61	3.598	3.599	3.615	3.641	3.716	3.78	3.779	3.78	3.767	3.748	3.727	3.705	3.683	3.665	3.653	3.649	3.647	3.65	3.651	3.64	3.598	3.541	3.501
17-MAR-2012 00	3.358	3.359	3.362	3.375	3.375	3.373	3.374	3.381	3.391	3.404	3.417	3.434	3.443	3.435	3.43	3.433	3.45	3.49	3.513	3.514	3.513	3.521	3.539	3.587	3.634	3.642	3.637	3.607	3.586	3.576	3.581	3.589	3.596	3.606	3.618	3.632	3.651	3.665	3.664	3.66	3.67	3.669	3.669	3.679	3.692	3.696	3.697	3.701	3.711	3.712	3.705	3.69	3.662	3.62	3.569	3.505	3.425
16-APR-2012 11	3.279	3.264	3.27	3.27	3.309	3.345	3.353	3.372	3.4	3.436	3.439	3.476	3.486	3.493	3.492	3.497	3.492	3.5	3.514	3.527	3.539	3.564	3.615	3.603	3.605	3.584	3.566	3.576	3.605	3.606	3.572	3.533	3.524	3.531	3.546	3.567	3.609	3.608	3.587	3.61	3.657	3.636	3.641	3.64	3.654	3.658	3.668	3.669	3.664	3.655	3.653	3.656	3.651	3.622	3.576	3.515	3.442
16-MAY-2012 21	4.345	4.344	4.243	3.994	3.702	3.606	3.567	3.567	3.576	3.563	3.549	3.538	3.527	3.522	3.54	3.556	3.574	3.591	3.601	3.621	3.649	3.658	3.662	3.665	3.672	3.67	3.672	3.678	3.669	3.669	3.668	3.668	3.667	3.664	3.665	3.662	3.667	3.692	3.687	3.681	3.673	3.669	3.66	3.662	3.665	3.663	3.665	3.664	3.666	3.667	3.665	3.663	3.641	3.592	3.536	3.471	3.397
16-JUN-2012 08	6.411	6.195	5.768	5.368	4.81	4.415	4.121	3.85	3.746	3.737	3.748	3.732	3.728	3.741	3.753	3.754	3.758	3.758	3.753	3.743	3.741	3.721	3.719	3.709	3.698	3.692	3.684	3.681	3.673	3.664	3.664	3.671	3.668	3.65	3.629	3.621	3.616	3.604	3.599	3.598	3.602	3.606	3.606	3.603	3.597	3.59	3.585	3.586	3.6	3.621	3.637	3.658	3.679	3.678	3.645	3.588	3.512
16-JUL-2012 18	9.706	9.516	8.054	6.277	5.182	4.569	4.209	3.941	3.97	3.935	3.908	3.874	3.858	3.84	3.819	3.815	3.809	3.791	3.78	3.769	3.767	3.76	3.743	3.73	3.725	3.714	3.711	3.7	3.697	3.7	3.695	3.686	3.679	3.67	3.663	3.656	3.646	3.632	3.62	3.609	3.614	3.614	3.603	3.593	3.584	3.585	3.598	3.617	3.642	3.667	3.682	3.689	3.683	3.65	3.593	3.524	3.445
16-AUG-2012 05	11.26	11.19	10.49	7.731	5.09	4.157	4.003	3.954	3.954	3.952	3.96	3.966	3.965	3.963	3.97	3.969	3.975	3.97	3.96	3.966	3.955	3.933	3.902	3.87	3.835	3.824	3.812	3.796	3.778	3.767	3.757	3.745	3.729	3.716	3.695	3.672	3.661	3.653	3.645	3.642	3.641	3.632	3.622	3.61	3.601	3.592	3.591	3.602	3.616	3.638	3.661	3.683	3.688	3.664	3.612	3.542	3.47
15-SEP-2012 15	10.82	10.82	10.67	9.722	7.775	5.88	4.721	4.303	4.148	4.115	4.052	4.011	3.988	3.983	3.99	3.999	3.983	3.974	3.968	3.976	3.973	3.954	3.938	3.916	3.892	3.88	3.858	3.837	3.815	3.792	3.774	3.764	3.751	3.734	3.714	3.696	3.68	3.663	3.651	3.644	3.645	3.646	3.642	3.638	3.626	3.616	3.613	3.62	3.649	3.681	3.696	3.696	3.683	3.647	3.591	3.52	3.441
16-OCT-2012 02	7.926	7.929	7.942	7.979	7.86	6.948	5.543	4.7	4.364	4.218	4.138	4.081	4.07	4.065	4.048	4.037	4.025	4.02	4.025	4.019	3.999	3.997	4.008	3.992	3.976	3.961	3.938	3.924	3.896	3.876	3.864	3.842	3.837	3.825	3.806	3.781	3.772	3.763	3.747	3.729	3.723	3.716	3.709	3.697	3.68	3.664	3.651	3.655	3.67	3.686	3.694	3.692	3.671	3.629	3.569	3.498	3.421
15-NOV-2012 12	5.799	5.8	5.797	5.782	5.769	5.759	5.484	5.052	4.934	4.738	4.431	4.276	4.291	4.261	4.225	4.175	4.12	4.096	4.086	4.073	4.05	4.027	4.013	3.999	3.967	3.941	3.921	3.904	3.891	3.875	3.85	3.827	3.81	3.792	3.782	3.766	3.751	3.734	3.727	3.722	3.709	3.704	3.685	3.664	3.644	3.631	3.635	3.662	3.677	3.681	3.679	3.676	3.663	3.622	3.565	3.5	3.433
15-DEC-2012 23	4.127	4.129	4.131	4.129	4.105	4.079	4.013	4.009	4.036	4.063	4.074	4.093	4.136	4.175	4.165	4.16	4.161	4.148	4.132	4.105	4.071	4.04	4.017	3.996	3.969	3.95	3.929	3.894	3.869	3.852	3.841	3.835	3.82	3.796	3.76	3.734	3.714	3.703	3.692	3.687	3.675	3.667	3.66	3.652	3.648	3.644	3.644	3.657	3.672	3.684	3.691	3.693	3.683	3.647	3.589	3.517	3.448
15-JAN-2013 09	3.751	3.746	3.709	3.627	3.54	3.472	3.434	3.42	3.398	3.38	3.388	3.431	3.512	3.599	3.658	3.735	3.812	3.855	3.925	4.011	4.083	4.089	4.064	4.028	3.987	3.963	3.953	3.944	3.929	3.911	3.896	3.88	3.86	3.831	3.794	3.771	3.745	3.722	3.701	3.683	3.676	3.668	3.66	3.647	3.635	3.634	3.643	3.662	3.684	3.695	3.695	3.687	3.665	3.622	3.56	3.486	3.411
14-FEB-2013 20	3.077	3.08	3.083	3.071	3.064	3.06	3.033	3.035	3.028	3.018	3.003	3.005	3.06	3.096	3.109	3.097	3.163	3.224	3.35	3.602	3.84	3.957	4.015	4.04	4.07	4.074	4.073	4.083	4.064	4.034	3.994	3.955	3.926	3.893	3.853	3.847	3.869	3.851	3.825	3.807	3.788	3.775	3.767	3.749	3.727	3.702	3.702	3.721	3.74	3.738	3.729	3.715	3.689	3.638	3.574	3.499	3.411
17-MAR-2013 06	3.133	3.149	3.239	3.26	3.261	3.277	3.299	3.324	3.332	3.332	3.33	3.33	3.346	3.356	3.329	3.345	3.36	3.416	3.467	3.472	3.469	3.509	3.561	3.607	3.669	3.688	3.7	3.7	3.703	3.694	3.704	3.712	3.711	3.696	3.676	3.677	3.679	3.677	3.679	3.673	3.673	3.701	3.709	3.704	3.696	3.683	3.673	3.685	3.704	3.713	3.713	3.699	3.666	3.617	3.551	3.471	3.388
16-APR-2013 17	3.2	3.201	3.204	3.183	3.181	3.204	3.218	3.218	3.226	3.239	3.257	3.302	3.33	3.314	3.31	3.334	3.359	3.401	3.452	3.518	3.587	3.657	3.718	3.755	3.764	3.769	3.776	3.772	3.777	3.776	3.765	3.756	3.746	3.721	3.711	3.7	3.681	3.669	3.659	3.661	3.666	3.673	3.669	3.662	3.662	3.653	3.646	3.65	3.672	3.689	3.701	3.708	3.709	3.672	3.61	3.538	3.466
17-MAY-2013 03	3.674	3.646	3.612	3.619	3.631	3.648	3.639	3.618	3.59	3.579	3.569	3.578	3.588	3.599	3.593	3.614	3.631	3.642	3.66	3.702	3.79	3.852	3.879	3.896	3.895	3.877	3.876	3.865	3.853	3.842	3.829	3.816	3.804	3.785	3.757	3.736	3.721	3.699	3.681	3.667	3.656	3.652	3.659	3.664	3.663	3.66	3.659	3.664	3.676	3.687	3.699	3.71	3.708	3.681	3.632	3.573	3.5
